
-------------------------------------------------------------------------------
./eos/eosFPS,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.37632e+15 1.45589e+00 1.63123e+00 1.07746e+01 0.00000e+00 1.24259e+00 0.00000e+00 0.00000e+00    ---     2.12260e+00 2.12260e+00 2.89614e-01 2.89614e-01 2.89614e-01 0.00000e+00 2.31350e-01 1.00000e+00 1.22619e+00 1.18902e+00 5.04435e+00
1.44801e+15 1.49722e+00 1.68460e+00 1.07119e+01 0.00000e+00 1.27116e+00 0.00000e+00 0.00000e+00    ---     2.55005e+00 2.55005e+00 3.04576e-01 3.04576e-01 3.04576e-01 0.00000e+00 2.27710e-01 1.00000e+00 1.24712e+00 1.20806e+00 5.18743e+00
1.52344e+15 1.53844e+00 1.73845e+00 1.06519e+01 0.00000e+00 1.29901e+00 0.00000e+00 0.00000e+00    ---     2.96544e+00 2.96544e+00 3.19754e-01 3.19754e-01 3.19754e-01 0.00000e+00 2.24182e-01 1.00000e+00 1.26603e+00 1.22710e+00 5.32652e+00
1.60280e+15 1.57367e+00 1.78502e+00 1.05794e+01 0.00000e+00 1.32739e+00 0.00000e+00 0.00000e+00    ---     3.35109e+00 3.35109e+00 3.34708e-01 3.34708e-01 3.34708e-01 0.00000e+00 2.20513e-01 1.00000e+00 1.28454e+00 1.24750e+00 5.44904e+00
1.68629e+15 1.60460e+00 1.82643e+00 1.04989e+01 0.00000e+00 1.35616e+00 0.00000e+00 0.00000e+00    ---     3.71140e+00 3.71140e+00 3.49581e-01 3.49581e-01 3.49581e-01 0.00000e+00 2.16777e-01 1.00000e+00 1.30254e+00 1.26905e+00 5.55920e+00
1.77413e+15 1.63504e+00 1.86768e+00 1.04200e+01 0.00000e+00 1.38452e+00 0.00000e+00 0.00000e+00    ---     4.05963e+00 4.05963e+00 3.64613e-01 3.64613e-01 3.64613e-01 0.00000e+00 2.13137e-01 1.00000e+00 1.31910e+00 1.29071e+00 5.66457e+00
1.86654e+15 1.66285e+00 1.90583e+00 1.03376e+01 0.00000e+00 1.41299e+00 0.00000e+00 0.00000e+00    ---     4.38806e+00 4.38806e+00 3.79634e-01 3.79634e-01 3.79634e-01 0.00000e+00 2.09508e-01 1.00000e+00 1.33496e+00 1.31308e+00 5.76093e+00
1.96377e+15 1.68789e+00 1.94056e+00 1.02523e+01 0.00000e+00 1.44141e+00 0.00000e+00 0.00000e+00    ---     4.69507e+00 4.69507e+00 3.94521e-01 3.94521e-01 3.94521e-01 0.00000e+00 2.05919e-01 1.00000e+00 1.35011e+00 1.33596e+00 5.84763e+00
2.06607e+15 1.71014e+00 1.97171e+00 1.01645e+01 0.00000e+00 1.46970e+00 0.00000e+00 0.00000e+00    ---     4.97942e+00 4.97942e+00 4.09190e-01 4.09190e-01 4.09190e-01 0.00000e+00 2.02386e-01 1.00000e+00 1.36465e+00 1.35930e+00 5.92472e+00
2.17369e+15 1.72964e+00 1.99926e+00 1.00750e+01 0.00000e+00 1.49780e+00 0.00000e+00 0.00000e+00    ---     5.24186e+00 5.24186e+00 4.23572e-01 4.23572e-01 4.23572e-01 0.00000e+00 1.98925e-01 1.00000e+00 1.37864e+00 1.38293e+00 5.99221e+00
2.28692e+15 1.74651e+00 2.02329e+00 9.98403e+00 0.00000e+00 1.52568e+00 0.00000e+00 0.00000e+00    ---     5.48127e+00 5.48127e+00 4.37616e-01 4.37616e-01 4.37616e-01 0.00000e+00 1.95545e-01 1.00000e+00 1.39217e+00 1.40687e+00 6.05065e+00
2.40605e+15 1.76088e+00 2.04399e+00 9.89223e+00 0.00000e+00 1.55332e+00 0.00000e+00 0.00000e+00    ---     5.70055e+00 5.70055e+00 4.51289e-01 4.51289e-01 4.51289e-01 0.00000e+00 1.92253e-01 1.00000e+00 1.40529e+00 1.43094e+00 6.10037e+00
2.53138e+15 1.77264e+00 2.06091e+00 9.80011e+00 0.00000e+00 1.58049e+00 0.00000e+00 0.00000e+00    ---     5.89622e+00 5.89622e+00 4.64413e-01 4.64413e-01 4.64413e-01 0.00000e+00 1.89075e-01 1.00000e+00 1.41806e+00 1.45500e+00 6.14105e+00
2.66324e+15 1.78214e+00 2.07466e+00 9.70781e+00 0.00000e+00 1.60735e+00 0.00000e+00 0.00000e+00    ---     6.07190e+00 6.07190e+00 4.77068e-01 4.77068e-01 4.77068e-01 0.00000e+00 1.85997e-01 1.00000e+00 1.43058e+00 1.47911e+00 6.17397e+00
2.80197e+15 1.78950e+00 2.08535e+00 9.61559e+00 0.00000e+00 1.63386e+00 0.00000e+00 0.00000e+00    ---     6.22923e+00 6.22923e+00 4.89216e-01 4.89216e-01 4.89216e-01 0.00000e+00 1.83022e-01 1.00000e+00 1.44289e+00 1.50314e+00 6.19938e+00
2.94793e+15 1.79492e+00 2.09326e+00 9.52381e+00 0.00000e+00 1.66001e+00 0.00000e+00 0.00000e+00    ---     6.36881e+00 6.36881e+00 5.00847e-01 5.00847e-01 5.00847e-01 0.00000e+00 1.80150e-01 1.00000e+00 1.45503e+00 1.52709e+00 6.21804e+00
3.10149e+15 1.79851e+00 2.09848e+00 9.43263e+00 0.00000e+00 1.68578e+00 0.00000e+00 0.00000e+00    ---     6.49082e+00 6.49082e+00 5.11930e-01 5.11930e-01 5.11930e-01 0.00000e+00 1.77383e-01 1.00000e+00 1.46709e+00 1.55095e+00 6.23040e+00
3.26305e+15 1.80026e+00 2.10098e+00 9.34199e+00 0.00000e+00 1.71120e+00 0.00000e+00 0.00000e+00    ---     6.59695e+00 6.59695e+00 5.22439e-01 5.22439e-01 5.22439e-01 0.00000e+00 1.74717e-01 1.00000e+00 1.47911e+00 1.57464e+00 6.23660e+00
3.43303e+15 1.80058e+00 2.10130e+00 9.25258e+00 0.00000e+00 1.73618e+00 0.00000e+00 0.00000e+00    ---     6.68894e+00 6.68894e+00 5.32384e-01 5.32384e-01 5.32384e-01 0.00000e+00 1.72157e-01 1.00000e+00 1.49105e+00 1.59803e+00 6.23754e+00
3.61186e+15 1.79950e+00 2.09951e+00 9.16431e+00 0.00000e+00 1.76076e+00 0.00000e+00 0.00000e+00    ---     6.76745e+00 6.76745e+00 5.41765e-01 5.41765e-01 5.41765e-01 0.00000e+00 1.69697e-01 1.00000e+00 1.50297e+00 1.62118e+00 6.23362e+00
3.80000e+15 1.79682e+00 2.09525e+00 9.07698e+00 0.00000e+00 1.78491e+00 0.00000e+00 0.00000e+00    ---     6.83142e+00 6.83142e+00 5.50490e-01 5.50490e-01 5.50490e-01 0.00000e+00 1.67339e-01 1.00000e+00 1.51499e+00 1.64404e+00 6.22456e+00
