
-------------------------------------------------------------------------------
./eos/eosFPSfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.60280e+15 1.55828e+00 1.76654e+00 1.05060e+01 0.00000e+00 1.33506e+00 0.00000e+00 0.00000e+00    ---     3.29440e+00 3.29440e+00 3.33505e-01 3.33505e-01 3.33505e-01 0.00000e+00 2.19159e-01 1.00000e+00 1.29277e+00 1.25524e+00 5.39865e+00
1.68629e+15 1.59507e+00 1.81581e+00 1.04355e+01 0.00000e+00 1.36418e+00 0.00000e+00 0.00000e+00    ---     3.68454e+00 3.68454e+00 3.49391e-01 3.49391e-01 3.49391e-01 0.00000e+00 2.15496e-01 1.00000e+00 1.31036e+00 1.27660e+00 5.52377e+00
1.77413e+15 1.62805e+00 1.86070e+00 1.03586e+01 0.00000e+00 1.39352e+00 0.00000e+00 0.00000e+00    ---     4.05212e+00 4.05212e+00 3.65251e-01 3.65251e-01 3.65251e-01 0.00000e+00 2.11797e-01 1.00000e+00 1.32718e+00 1.29888e+00 5.63734e+00
1.86654e+15 1.65580e+00 1.89909e+00 1.02732e+01 0.00000e+00 1.42330e+00 0.00000e+00 0.00000e+00    ---     4.39051e+00 4.39051e+00 3.80889e-01 3.80889e-01 3.80889e-01 0.00000e+00 2.08041e-01 1.00000e+00 1.34372e+00 1.32233e+00 5.73653e+00
1.96377e+15 1.68213e+00 1.93574e+00 1.01902e+01 0.00000e+00 1.45214e+00 0.00000e+00 0.00000e+00    ---     4.70657e+00 4.70657e+00 3.96279e-01 3.96279e-01 3.96279e-01 0.00000e+00 2.04454e-01 1.00000e+00 1.35873e+00 1.34552e+00 5.82775e+00
2.06607e+15 1.70776e+00 1.97155e+00 1.01112e+01 0.00000e+00 1.47989e+00 0.00000e+00 0.00000e+00    ---     5.00305e+00 5.00305e+00 4.11426e-01 4.11426e-01 4.11426e-01 0.00000e+00 2.01055e-01 1.00000e+00 1.37220e+00 1.36827e+00 5.91259e+00
2.17369e+15 1.72553e+00 1.99673e+00 1.00189e+01 0.00000e+00 1.50860e+00 0.00000e+00 0.00000e+00    ---     5.26151e+00 5.26151e+00 4.25917e-01 4.25917e-01 4.25917e-01 0.00000e+00 1.97548e-01 1.00000e+00 1.38657e+00 1.39257e+00 5.97796e+00
2.28692e+15 1.74292e+00 2.02144e+00 9.93109e+00 0.00000e+00 1.53632e+00 0.00000e+00 0.00000e+00    ---     5.50249e+00 5.50249e+00 4.40126e-01 4.40126e-01 4.40126e-01 0.00000e+00 1.94229e-01 1.00000e+00 1.39968e+00 1.41640e+00 6.03823e+00
2.40605e+15 1.75772e+00 2.04264e+00 9.84238e+00 0.00000e+00 1.56371e+00 0.00000e+00 0.00000e+00    ---     5.72224e+00 5.72224e+00 4.53907e-01 4.53907e-01 4.53907e-01 0.00000e+00 1.91005e-01 1.00000e+00 1.41237e+00 1.44029e+00 6.08936e+00
2.53138e+15 1.77120e+00 2.06204e+00 9.75542e+00 0.00000e+00 1.59049e+00 0.00000e+00 0.00000e+00    ---     5.92341e+00 5.92341e+00 4.67320e-01 4.67320e-01 4.67320e-01 0.00000e+00 1.87911e-01 1.00000e+00 1.42438e+00 1.46402e+00 6.13421e+00
2.66324e+15 1.77995e+00 2.07476e+00 9.66318e+00 0.00000e+00 1.61748e+00 0.00000e+00 0.00000e+00    ---     6.09689e+00 6.09689e+00 4.80022e-01 4.80022e-01 4.80022e-01 0.00000e+00 1.84846e-01 1.00000e+00 1.43688e+00 1.48833e+00 6.16633e+00
2.80197e+15 1.78771e+00 2.08606e+00 9.57332e+00 0.00000e+00 1.64384e+00 0.00000e+00 0.00000e+00    ---     6.25542e+00 6.25542e+00 4.92306e-01 4.92306e-01 4.92306e-01 0.00000e+00 1.81916e-01 1.00000e+00 1.44883e+00 1.51228e+00 6.19310e+00
2.94793e+15 1.79343e+00 2.09441e+00 9.48365e+00 0.00000e+00 1.66985e+00 0.00000e+00 0.00000e+00    ---     6.39538e+00 6.39538e+00 5.04048e-01 5.04048e-01 5.04048e-01 0.00000e+00 1.79087e-01 1.00000e+00 1.46065e+00 1.53617e+00 6.21287e+00
3.10149e+15 1.79737e+00 2.10017e+00 9.39457e+00 0.00000e+00 1.69546e+00 0.00000e+00 0.00000e+00    ---     6.51832e+00 6.51832e+00 5.15245e-01 5.15245e-01 5.15245e-01 0.00000e+00 1.76362e-01 1.00000e+00 1.47237e+00 1.55994e+00 6.22638e+00
3.26305e+15 1.79943e+00 2.10312e+00 9.30585e+00 0.00000e+00 1.72073e+00 0.00000e+00 0.00000e+00    ---     6.62515e+00 6.62515e+00 5.25850e-01 5.25850e-01 5.25850e-01 0.00000e+00 1.73735e-01 1.00000e+00 1.48408e+00 1.58354e+00 6.23354e+00
3.43303e+15 1.79997e+00 2.10380e+00 9.21810e+00 0.00000e+00 1.74559e+00 0.00000e+00 0.00000e+00    ---     6.71759e+00 6.71759e+00 5.35880e-01 5.35880e-01 5.35880e-01 0.00000e+00 1.71210e-01 1.00000e+00 1.49575e+00 1.60688e+00 6.23527e+00
3.61186e+15 1.79887e+00 2.10198e+00 9.13107e+00 0.00000e+00 1.77006e+00 0.00000e+00 0.00000e+00    ---     6.79550e+00 6.79550e+00 5.45293e-01 5.45293e-01 5.45293e-01 0.00000e+00 1.68781e-01 1.00000e+00 1.50748e+00 1.62998e+00 6.23159e+00
3.80000e+15 1.79705e+00 2.09901e+00 9.04613e+00 0.00000e+00 1.79402e+00 0.00000e+00 0.00000e+00    ---     6.86180e+00 6.86180e+00 5.54198e-01 5.54198e-01 5.54198e-01 0.00000e+00 1.66459e-01 1.00000e+00 1.51907e+00 1.65273e+00 6.22449e+00
