
-------------------------------------------------------------------------------
./eos/eosSlyfit,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.60280e+15 1.86664e+00 2.16253e+00 1.10135e+01 0.00000e+00 1.36138e+00 0.00000e+00 0.00000e+00    ---     5.51598e+00 5.51598e+00 4.14331e-01 4.14331e-01 4.14331e-01 0.00000e+00 2.18631e-01 1.00000e+00 1.26017e+00 1.25830e+00 6.46677e+00
1.68629e+15 1.89935e+00 2.20891e+00 1.09250e+01 0.00000e+00 1.38995e+00 0.00000e+00 0.00000e+00    ---     5.89327e+00 5.89327e+00 4.32906e-01 4.32906e-01 4.32906e-01 0.00000e+00 2.14555e-01 1.00000e+00 1.27205e+00 1.28222e+00 6.58005e+00
1.77413e+15 1.92818e+00 2.25026e+00 1.08340e+01 0.00000e+00 1.41811e+00 0.00000e+00 0.00000e+00    ---     6.23938e+00 6.23938e+00 4.51127e-01 4.51127e-01 4.51127e-01 0.00000e+00 2.10580e-01 1.00000e+00 1.28313e+00 1.30641e+00 6.67983e+00
1.86654e+15 1.95328e+00 2.28669e+00 1.07410e+01 0.00000e+00 1.44588e+00 0.00000e+00 0.00000e+00    ---     6.55398e+00 6.55398e+00 4.68928e-01 4.68928e-01 4.68928e-01 0.00000e+00 2.06715e-01 1.00000e+00 1.29359e+00 1.33086e+00 6.76677e+00
1.96377e+15 1.97483e+00 2.31832e+00 1.06463e+01 0.00000e+00 1.47324e+00 0.00000e+00 0.00000e+00    ---     6.83912e+00 6.83912e+00 4.86244e-01 4.86244e-01 4.86244e-01 0.00000e+00 2.02967e-01 1.00000e+00 1.30354e+00 1.35544e+00 6.84138e+00
2.06607e+15 1.99310e+00 2.34544e+00 1.05507e+01 0.00000e+00 1.50018e+00 0.00000e+00 0.00000e+00    ---     7.09621e+00 7.09621e+00 5.03030e-01 5.03030e-01 5.03030e-01 0.00000e+00 1.99343e-01 1.00000e+00 1.31308e+00 1.38007e+00 6.90448e+00
2.17369e+15 2.00816e+00 2.36805e+00 1.04543e+01 0.00000e+00 1.52669e+00 0.00000e+00 0.00000e+00    ---     7.32507e+00 7.32507e+00 5.19213e-01 5.19213e-01 5.19213e-01 0.00000e+00 1.95846e-01 1.00000e+00 1.32236e+00 1.40474e+00 6.95664e+00
2.28692e+15 2.02017e+00 2.38628e+00 1.03575e+01 0.00000e+00 1.55277e+00 0.00000e+00 0.00000e+00    ---     7.52867e+00 7.52867e+00 5.34744e-01 5.34744e-01 5.34744e-01 0.00000e+00 1.92477e-01 1.00000e+00 1.33146e+00 1.42931e+00 6.99826e+00
2.40605e+15 2.02948e+00 2.40054e+00 1.02608e+01 0.00000e+00 1.57838e+00 0.00000e+00 0.00000e+00    ---     7.70782e+00 7.70782e+00 5.49588e-01 5.49588e-01 5.49588e-01 0.00000e+00 1.89244e-01 1.00000e+00 1.34042e+00 1.45372e+00 7.03046e+00
2.53138e+15 2.03623e+00 2.41096e+00 1.01645e+01 0.00000e+00 1.60351e+00 0.00000e+00 0.00000e+00    ---     7.86323e+00 7.86323e+00 5.63699e-01 5.63699e-01 5.63699e-01 0.00000e+00 1.86144e-01 1.00000e+00 1.34934e+00 1.47795e+00 7.05387e+00
2.66324e+15 2.04073e+00 2.41793e+00 1.00691e+01 0.00000e+00 1.62811e+00 0.00000e+00 0.00000e+00    ---     7.99797e+00 7.99797e+00 5.77059e-01 5.77059e-01 5.77059e-01 0.00000e+00 1.83182e-01 1.00000e+00 1.35821e+00 1.50186e+00 7.06928e+00
2.80197e+15 2.04277e+00 2.42109e+00 9.97420e+00 0.00000e+00 1.65226e+00 0.00000e+00 0.00000e+00    ---     8.11205e+00 8.11205e+00 5.89600e-01 5.89600e-01 5.89600e-01 0.00000e+00 1.80347e-01 1.00000e+00 1.36720e+00 1.52545e+00 7.07661e+00
2.94793e+15 2.04361e+00 2.42228e+00 9.88157e+00 0.00000e+00 1.67579e+00 0.00000e+00 0.00000e+00    ---     8.20995e+00 8.20995e+00 6.01451e-01 6.01451e-01 6.01451e-01 0.00000e+00 1.77652e-01 1.00000e+00 1.37607e+00 1.54857e+00 7.07858e+00
3.10149e+15 2.04164e+00 2.41907e+00 9.78872e+00 0.00000e+00 1.69894e+00 0.00000e+00 0.00000e+00    ---     8.28690e+00 8.28690e+00 6.12365e-01 6.12365e-01 6.12365e-01 0.00000e+00 1.75070e-01 1.00000e+00 1.38531e+00 1.57144e+00 7.07260e+00
3.26305e+15 2.03952e+00 2.41549e+00 9.69960e+00 0.00000e+00 1.72135e+00 0.00000e+00 0.00000e+00    ---     8.35335e+00 8.35335e+00 6.22690e-01 6.22690e-01 6.22690e-01 0.00000e+00 1.72631e-01 1.00000e+00 1.39426e+00 1.59365e+00 7.06382e+00
3.43303e+15 2.03424e+00 2.40691e+00 9.60947e+00 0.00000e+00 1.74350e+00 0.00000e+00 0.00000e+00    ---     8.40020e+00 8.40020e+00 6.31993e-01 6.31993e-01 6.31993e-01 0.00000e+00 1.70287e-01 1.00000e+00 1.40382e+00 1.61560e+00 7.04694e+00
3.61186e+15 2.02865e+00 2.39772e+00 9.52260e+00 0.00000e+00 1.76497e+00 0.00000e+00 0.00000e+00    ---     8.43743e+00 8.43743e+00 6.40656e-01 6.40656e-01 6.40656e-01 0.00000e+00 1.68071e-01 1.00000e+00 1.41324e+00 1.63688e+00 7.02744e+00
3.80000e+15 2.02196e+00 2.38668e+00 9.43763e+00 0.00000e+00 1.78589e+00 0.00000e+00 0.00000e+00    ---     8.46312e+00 8.46312e+00 6.48567e-01 6.48567e-01 6.48567e-01 0.00000e+00 1.65967e-01 1.00000e+00 1.42277e+00 1.65762e+00 7.00413e+00
