
-------------------------------------------------------------------------------
./eos/eosSly,  MDIVxSDIV=65x129,  accuracy=1e-05
-------------------------------------------------------------------------------
   rho_c        M         M_0         R         Omega      Omega_p       T/W           C*J/GM_s^2      I        h_plus       h_minus       Z_p      Z_b        Z_f       omega_c/Omega   r_e     r_ratio     Omega_pa    Omega+    u_phi
1.30817e+15 1.72315e+00 1.96267e+00 1.14031e+01 0.00000e+00 1.24158e+00 0.00000e+00 0.00000e+00    ---     3.85738e+00 3.85738e+00 3.43380e-01 3.43380e-01 3.43380e-01 0.00000e+00 2.36370e-01 1.00000e+00 1.19631e+00 1.16385e+00 5.96996e+00
1.37632e+15 1.76955e+00 2.02530e+00 1.13284e+01 0.00000e+00 1.27064e+00 0.00000e+00 0.00000e+00    ---     4.34284e+00 4.34284e+00 3.61968e-01 3.61968e-01 3.61968e-01 0.00000e+00 2.32097e-01 1.00000e+00 1.21235e+00 1.18527e+00 6.13059e+00
1.44801e+15 1.81213e+00 2.08354e+00 1.12492e+01 0.00000e+00 1.29943e+00 0.00000e+00 0.00000e+00    ---     4.79827e+00 4.79827e+00 3.80544e-01 3.80544e-01 3.80544e-01 0.00000e+00 2.27859e-01 1.00000e+00 1.22703e+00 1.20734e+00 6.27808e+00
1.52344e+15 1.85086e+00 2.13721e+00 1.11660e+01 0.00000e+00 1.32792e+00 0.00000e+00 0.00000e+00    ---     5.22364e+00 5.22364e+00 3.99022e-01 3.99022e-01 3.99022e-01 0.00000e+00 2.23673e-01 1.00000e+00 1.24054e+00 1.22994e+00 6.41217e+00
1.60280e+15 1.88575e+00 2.18623e+00 1.10793e+01 0.00000e+00 1.35613e+00 0.00000e+00 0.00000e+00    ---     5.61933e+00 5.61933e+00 4.17331e-01 4.17331e-01 4.17331e-01 0.00000e+00 2.19554e-01 1.00000e+00 1.25303e+00 1.25300e+00 6.53295e+00
1.68629e+15 1.91683e+00 2.23047e+00 1.09896e+01 0.00000e+00 1.38404e+00 0.00000e+00 0.00000e+00    ---     5.98347e+00 5.98347e+00 4.35383e-01 4.35383e-01 4.35383e-01 0.00000e+00 2.15517e-01 1.00000e+00 1.26469e+00 1.27650e+00 6.64064e+00
1.77413e+15 1.94413e+00 2.26976e+00 1.08974e+01 0.00000e+00 1.41158e+00 0.00000e+00 0.00000e+00    ---     6.31765e+00 6.31765e+00 4.53073e-01 4.53073e-01 4.53073e-01 0.00000e+00 2.11579e-01 1.00000e+00 1.27565e+00 1.30024e+00 6.73514e+00
1.86654e+15 1.96783e+00 2.30423e+00 1.08031e+01 0.00000e+00 1.43877e+00 0.00000e+00 0.00000e+00    ---     6.62092e+00 6.62092e+00 4.70343e-01 4.70343e-01 4.70343e-01 0.00000e+00 2.07747e-01 1.00000e+00 1.28605e+00 1.32425e+00 6.81722e+00
1.96377e+15 1.98805e+00 2.33390e+00 1.07073e+01 0.00000e+00 1.46557e+00 0.00000e+00 0.00000e+00    ---     6.89545e+00 6.89545e+00 4.87114e-01 4.87114e-01 4.87114e-01 0.00000e+00 2.04032e-01 1.00000e+00 1.29602e+00 1.34836e+00 6.88719e+00
2.06607e+15 2.00503e+00 2.35903e+00 1.06105e+01 0.00000e+00 1.49198e+00 0.00000e+00 0.00000e+00    ---     7.14223e+00 7.14223e+00 5.03339e-01 5.03339e-01 5.03339e-01 0.00000e+00 2.00439e-01 1.00000e+00 1.30564e+00 1.37252e+00 6.94585e+00
